"Hours per Week","Age","Workclass","Highest Degree","Marital Status","Race","Gender","Native Country","Occupation","Income Actual","Income Adjust","Income","ML Pred","ML Conf"
40,29,"Private","High School Graduate","Never Married","White","Male","United States","Handler/Cleaner",12000,20401.33779,0,0,0.922188511644736
40,52,"Private","High School Graduate","Widowed","White","Female","United States","Sales",7918,13461.48272,0,0,0.755272352008184
35,23,"Private","High School Graduate","Never Married","White","Male","United States","Sales",12000,20401.33779,0,0,0.969109608335399
40,22,"Private","High School Graduate","Never Married","White","Male","United States","Administrative/Clerical",12000,20401.33779,0,0,0.960203127667804
40,21,"Private","High School Graduate","Separated","White","Male","United States","Farming/Fishing",17000,28901.89521,0,0,0.978438930874787
40,50,"Private","High School Graduate","Divorced","White","Female","United States","Other Services",10380,17647.15719,0,0,0.899883097871788
40,27,"Private","High School Graduate","Never Married","Black","Male","United States","Craft/Repair",23000,39102.5641,0,0,0.90178744766451
40,24,"Private","High School Graduate","Separated","White","Male","United States","Machine Operator/Inspector",12489,21232.69231,0,0,0.930640284132881
30,23,"Private","High School Graduate","Married","White","Male","United States","Executive/Managerial",15400,26181.71683,0,0,0.867200576469255
40,21,"Private","High School Graduate","Never Married","White","Male","United States","Administrative/Clerical",4916,8357.748049,0,0,0.963527675187018
39,36,"State Government","High School Graduate","Divorced","White","Female","United States","Executive/Managerial",27969,47550.41806,0,0,0.690572468242466
40,44,"Private","High School Graduate","Divorced","Black","Female","United States","Administrative/Clerical",14025,23844.06355,0,0,0.849340520977651
30,18,"State Government","High School Graduate","Never Married","Black","Female","United States","Sales",1655,2813.684504,0,0,0.994059372083946
40,31,"Private","Undergraduate Degree","Never Married","White","Male","United States","Craft/Repair",23000,39102.5641,0,0,0.642515023175277
40,35,"Private","High School Graduate","Divorced","White","Male","United States","Craft/Repair",15000,25501.67224,0,0,0.693099085561185
25,20,"Private","High School Graduate","Never Married","White","Female","United States","Administrative/Clerical",11025,18743.7291,0,0,0.994500718257592
40,28,"Private","High School Graduate","Never Married","White","Male","United States","Sales",23025,39145.06689,0,0,0.833273216486693
40,50,"Self Employed (Unincorporated)","High School Graduate","Divorced","White","Female","United States","Sales",25611,43541.55518,0,0,0.796286947545359
40,24,"Private","High School Graduate","Never Married","White","Female","United States","Handler/Cleaner",8680,14756.96767,0,0,0.970897595829288
40,22,"Private","High School Graduate","Never Married","White","Female","United States","Handler/Cleaner",9517,16179.96098,0,0,0.982722786567926
30,37,"Private","Undergraduate Degree","Married","Asian/Pacific Islander","Male","China","Other Services",13882,23600.9476,0,0,0.550465019761788
30,27,"Private","High School Graduate","Never Married","White","Male","United States","Sales",14000,23801.56076,0,0,0.953328108073141
45,41,"Self Employed (Unincorporated)","High School Graduate","Divorced","White","Male","United States","Sales",21674,36848.21628,0,0,0.568860695462106
30,18,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",1405,2388.656633,0,0,0.994313550521104
40,17,"State Government","Less than High School","Never Married","White","Male","United States","Farming/Fishing",1168,1985.730212,0,0,0.981279312295224
40,41,"Private","Undergraduate Degree","Divorced","White","Male","United States","Other Services",28801,48964.91081,0,0,0.78277979634863
10,17,"Local Government","Less than High School","Never Married","White","Female","United States","Professional Specialty",3000,5100.334448,0,0,0.995643822384498
40,22,"Private","High School Graduate","Never Married","White","Female","United States","Administrative/Clerical",6240,10608.69565,0,0,0.970840905739006
20,19,"Private","High School Graduate","Never Married","White","Female","United States","Craft/Repair",5200,8840.57971,0,0,0.988967527534086
40,64,"Private","High School Graduate","Divorced","White","Female","United States","Executive/Managerial",19071,32422.82609,0,0,0.539178590376532
50,44,"Private","Less than High School","Divorced","White","Female","United States","Other Services",5571,9471.32107,0,0,0.922051382707869
30,22,"Private","Less than High School","Never Married","White","Male","United States","Craft/Repair",1000,1700.111483,0,0,0.987446459598082
30,45,"Self Employed (Unincorporated)","High School Graduate","Divorced","White","Male","United States","Craft/Repair",21000,35702.34114,0,0,0.833641558338974
40,36,"Private","High School Graduate","Never Married","White","Male","United States","Craft/Repair",15207,25853.59532,0,0,0.690412849306866
20,26,"Private","High School Graduate","Never Married","White","Female","United States","Administrative/Clerical",1612,2740.57971,0,0,0.97423621519006
30,60,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Craft/Repair",14177,24102.48049,0,0,0.625869855818346
98,22,"Private","High School Graduate","Never Married","White","Male","United States","Professional Specialty",20000,34002.22965,0,0,0.914375205639314
20,19,"Self Employed (Incorporated)","High School Graduate","Never Married","White","Female","United States","Administrative/Clerical",5575,9478.121516,0,0,0.992675110287944
40,28,"Private","High School Graduate","Married (Spouse Absent)","White","Female","United States","Administrative/Clerical",18720,31826.08696,0,0,0.888172644567882
15,55,"Self Employed (Unincorporated)","Undergraduate Degree","Widowed","White","Female","United States","Sales",1352,2298.550725,0,0,0.824209120405951
50,23,"Private","Undergraduate Degree","Never Married","White","Male","United States","Professional Specialty",8984,15273.80156,0,0,0.780622262979631
10,22,"State Government","High School Graduate","Never Married","White","Male","United States","Other Services",1900,3230.211817,0,0,0.992136779541753
24,45,"Private","High School Graduate","Married (Spouse Absent)","White","Female","United States","Other Services",21010,35719.34225,0,0,0.966707799926377
40,36,"Local Government","High School Graduate","Never Married","White","Male","United States","Administrative/Clerical",16200,27541.80602,0,0,0.708886668658724
24,23,"Private","High School Graduate","Never Married","White","Female","United States","Sales",2143,3643.338907,0,0,0.985985773489207
40,35,"Private","High School Graduate","Divorced","White","Female","United States","Other Services",17029,28951.19844,0,0,0.925723416123447
45,76,"Private","Less than High School","Married","White","Male","United States","Other Services",18763,31899.19175,0,0,0.630397495953955
40,45,"Private","Less than High School","Divorced","White","Male","United States","Transport/Moving",12000,20401.33779,0,0,0.793993023436015
40,27,"Private","High School Graduate","Never Married","White","Male","United States","Machine Operator/Inspector",19166,32584.33668,0,0,0.869606901006111
43,20,"Private","High School Graduate","Never Married","White","Male","United States","Handler/Cleaner",17166,29184.11371,0,0,0.987789247651626
20,20,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",7000,11900.78038,0,0,0.993153377293347
20,17,"Private","Less than High School","Never Married","White","Female","United States","Other Services",7000,11900.78038,0,0,0.996802228223391
30,46,"Private","High School Graduate","Divorced","White","Female","United States","Private House Services",20000,34002.22965,0,0,0.962829150946294
40,23,"Private","High School Graduate","Never Married","White","Male","United States","Handler/Cleaner",1900,3230.211817,0,0,0.97350316996099
54,29,"Private","High School Graduate","Divorced","White","Female","United States","Sales",18200,30942.02899,0,0,0.666431239030824
25,31,"Private","High School Graduate","Never Married","White","Female","United States","Machine Operator/Inspector",1560,2652.173913,0,0,0.9623159468489
45,25,"Private","Undergraduate Degree","Never Married","White","Female","United States","Sales",20320,34546.26533,0,0,0.609102628917369
40,28,"Private","Undergraduate Degree","Never Married","White","Female","United States","Executive/Managerial",25100,42672.79822,0,0,0.576604208465896
40,26,"Private","Less than High School","Divorced","White","Female","United States","Other Services",8500,14450.9476,0,0,0.972260467263926
38,60,"Private","High School Graduate","Never Married","White","Female","United States","Administrative/Clerical",19960,33934.2252,0,0,0.727930792843985
40,26,"Private","High School Graduate","Never Married","White","Female","United States","Executive/Managerial",21571,36673.10479,0,0,0.860732888900485
11,73,"Local Government","High School Graduate","Never Married","White","Female","United States","Professional Specialty",5338,9075.195095,0,0,0.852609321188088
40,26,"Private","High School Graduate","Never Married","White","Male","United States","Other Services",15000,25501.67224,0,0,0.941835066095221
40,28,"Private","Less than High School","Never Married","White","Female","United States","Machine Operator/Inspector",8000,13600.89186,0,0,0.955482572763106
45,22,"Private","Undergraduate Degree","Never Married","White","Male","United States","Administrative/Clerical",18060,30704.01338,0,0,0.904573207185093
30,22,"Private","High School Graduate","Never Married","White","Male","United States","Machine Operator/Inspector",16000,27201.78372,0,0,0.986064972081005
40,22,"Private","Undergraduate Degree","Never Married","White","Female","United States","Administrative/Clerical",16578,28184.44816,0,0,0.956997934045928
45,20,"Private","High School Graduate","Never Married","White","Female","United States","Private House Services",3600,6120.401338,0,0,0.98293139366535
8,22,"State Government","High School Graduate","Never Married","White","Female","United States","Administrative/Clerical",5442,9252.006689,0,0,0.993116451666833
35,63,"Self Employed (Unincorporated)","High School Graduate","Widowed","White","Male","United States","Executive/Managerial",8800,14960.98105,0,0,0.73918457615615
40,23,"Private","Undergraduate Degree","Never Married","White","Female","United States","Protective Services",12407,21093.28317,0,0,0.90638063913199
35,28,"Private","Undergraduate Degree","Never Married","White","Female","United States","Other Services",15047,25581.57748,0,0,0.934444364345969
40,33,"Private","Less than High School","Never Married","White","Male","United States","Craft/Repair",7432,12635.22854,0,0,0.86941433391602
30,23,"Private","Undergraduate Degree","Never Married","White","Female","United States","Sales",7950,13515.88629,0,0,0.979404331655128
20,24,"Private","Undergraduate Degree","Never Married","White","Male","United States","Executive/Managerial",3100,5270.345596,0,0,0.971432533901026
40,20,"Private","High School Graduate","Never Married","White","Female","United States","Executive/Managerial",12050,20486.34337,0,0,0.981688546378237
40,24,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",12050,20486.34337,0,0,0.97103644773891
50,30,"Private","Less than High School","Never Married","White","Male","United States","Craft/Repair",8000,13600.89186,0,0,0.76606293741105
60,35,"Self Employed (Unincorporated)","High School Graduate","Never Married","White","Female","United States","Other Services",14584,24794.42586,0,0,0.840865874595859
20,20,"Private","High School Graduate","Never Married","Black","Female","United States","Administrative/Clerical",3500,5950.39019,0,0,0.994905251835792
40,22,"Private","Undergraduate Degree","Never Married","White","Male","United States","Executive/Managerial",3625,6162.904125,0,0,0.906848603554747
40,20,"Private","Undergraduate Degree","Never Married","White","Female","United States","Administrative/Clerical",5305,9019.091416,0,0,0.978722685372944
40,19,"Private","High School Graduate","Never Married","White","Male","United States","Handler/Cleaner",3744,6365.217391,0,0,0.990841130459991
40,48,"Private","High School Graduate","Divorced","White","Female","United States","Other Services",12232,20795.76366,0,0,0.913639309371751
20,40,"Private","Graduate Degree","Divorced","White","Male","United States","Professional Specialty",10230,17392.14047,0,0,0.674200927159361
40,28,"Local Government","Graduate Degree","Never Married","White","Female","United States","Professional Specialty",26400,44882.94314,0,0,0.519564881612422
20,28,"Private","Undergraduate Degree","Never Married","White","Female","United States","Professional Specialty",8780,14926.97882,0,0,0.888196714260619
50,26,"Private","Undergraduate Degree","Never Married","White","Female","United States","Professional Specialty",24000,40802.67559,0,0,0.50762719394197
33,42,"Local Government","Undergraduate Degree","Divorced","White","Male","United States","Transport/Moving",16030,27252.78707,0,0,0.815505806996376
40,31,"Private","Undergraduate Degree","Never Married","White","Male","United States","Tech Support",11500,19551.28205,0,0,0.510910774814446
20,73,"Private","High School Graduate","Widowed","White","Female","United States","Other Services",2719,4622.603122,0,0,0.968977275473139
40,25,"Private","Less than High School","Married","White","Male","United States","Transport/Moving",18958,32230.71349,0,0,0.677204423697398
8,51,"Federal Government","High School Graduate","Divorced","White","Female","United States","Administrative/Clerical",5812,9881.047938,0,0,0.913346744145544
40,40,"Private","High School Graduate","Separated","White","Female","United States","Other Services",7179,12205.10033,0,0,0.928492476826145
30,55,"Private","High School Graduate","Married","White","Female","United States","Private House Services",11200,19041.24861,0,0,0.728949738492564
40,22,"Private","High School Graduate","Never Married","White","Male","United States","Handler/Cleaner",5964,10139.46488,0,0,0.981030688496713
45,50,"Private","High School Graduate","Divorced","White","Female","United States","Sales",29348,49894.87179,0,0,0.632996659694256
50,25,"Private","Undergraduate Degree","Never Married","White","Female","United States","Professional Specialty",12350,20996.37681,0,0,0.559472556812273
20,64,"Self Employed (Unincorporated)","Less than High School","Married","White","Male","United States","Craft/Repair",19000,32302.11817,0,0,0.872942722995166
40,44,"Private","High School Graduate","Never Married","White","Female","United States","Machine Operator/Inspector",18230,30993.03233,0,0,0.834486174444292
40,20,"Private","Less than High School","Never Married","White","Male","United States","Farming/Fishing",10432,17735.56299,0,0,0.990125329301003
30,56,"Self Employed (Unincorporated)","Undergraduate Degree","Divorced","White","Male","United States","Farming/Fishing",2000,3400.222965,0,0,0.818590637074474
30,23,"Private","High School Graduate","Never Married","White","Male","United States","Farming/Fishing",2500,4250.278707,0,0,0.989870717670298
40,33,"Private","High School Graduate","Never Married","White","Male","United States","Transport/Moving",27000,45903.01003,0,0,0.798002620996331
40,33,"Private","High School Graduate","Never Married","White","Female","United States","Machine Operator/Inspector",10000,17001.11483,0,0,0.897015094854947
13,19,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",2045,3476.727982,0,0,0.993203252176205
45,27,"Private","High School Graduate","Never Married","White","Male","United States","Farming/Fishing",24000,40802.67559,0,0,0.917774560690554
35,38,"Self Employed (Unincorporated)","Undergraduate Degree","Divorced","White","Male","United States","Executive/Managerial",18572,31574.47046,0,0,0.664064644513595
35,61,"Private","Undergraduate Degree","Divorced","White","Female","United States","Administrative/Clerical",18457,31378.95764,0,0,0.781799269139695
38,40,"Private","Undergraduate Degree","Divorced","White","Female","United States","Machine Operator/Inspector",16205,27550.30658,0,0,0.744719861792312
10,49,"Local Government","High School Graduate","Divorced","White","Female","United States","Administrative/Clerical",2579,4384.587514,0,0,0.932086961800623
40,25,"Private","Undergraduate Degree","Never Married","White","Male","United States","Executive/Managerial",4077,6931.354515,0,0,0.675887892080138
40,21,"Private","High School Graduate","Never Married","White","Male","United States","Protective Services",9148,15552.61984,0,0,0.958353975951058
40,25,"Private","High School Graduate","Never Married","White","Male","United States","Sales",14500,24651.6165,0,0,0.883488805517695
15,19,"Private","High School Graduate","Never Married","White","Female","United States","Sales",4100,6970.457079,0,0,0.991420344733793
40,48,"Private","Less than High School","Married","White","Female","United States","Other Services",25004,42509.58751,0,0,0.572108986477498
40,40,"State Government","Undergraduate Degree","Divorced","White","Female","United States","Administrative/Clerical",21339,36278.67893,0,0,0.749688008617349
40,47,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",11622,19758.69565,0,0,0.916393251495152
30,21,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",9100,15471.01449,0,0,0.990393300721495
44,30,"Private","High School Graduate","Never Married","White","Male","United States","Machine Operator/Inspector",18664,31730.88071,0,0,0.707896317387025
40,28,"Private","Less than High School","Never Married","White","Male","United States","Craft/Repair",16010,27218.78484,0,0,0.901945405753718
40,21,"Private","Less than High School","Never Married","White","Male","United States","Machine Operator/Inspector",17000,28901.89521,0,0,0.973475842505396
30,42,"Private","High School Graduate","Married","Black","Female","United States","Other Services",2200,3740.245262,0,1,0.575302550698374
99,30,"Private","High School Graduate","Married","Black","Male","United States","Executive/Managerial",26179,44507.21851,0,1,0.874374509558695
40,37,"Federal Government","Undergraduate Degree","Divorced","Black","Female","United States","Executive/Managerial",19010,32319.11929,0,1,0.590200479256427
40,33,"Self Employed (Unincorporated)","High School Graduate","Married","Black","Male","United States","Craft/Repair",10000,17001.11483,0,1,0.519871956106313
50,56,"Self Employed (Unincorporated)","High School Graduate","Married (Spouse Absent)","Black","Male","United States","Professional Specialty",2927,4976.22631,0,1,0.509277470077472
39,56,"State Government","Graduate Degree","Divorced","White","Female","United States","Professional Specialty",29200,49643.2553,0,1,0.779128915863273
43,46,"Private","Less than High School","Married","White","Male","United States","Machine Operator/Inspector",24013,40824.77703,0,1,0.645277023900947
40,47,"Private","High School Graduate","Married","White","Male","United States","Transport/Moving",11713,19913.4058,0,1,0.787988318762546
55,29,"Private","Graduate Degree","Never Married","White","Female","United States","Professional Specialty",12164,20680.15608,0,1,0.635513613636554
40,58,"Private","High School Graduate","Married","White","Female","Greece","Sales",20570,34971.2932,0,1,0.746660218122418
50,29,"Private","High School Graduate","Married","Black","Male","United States","Administrative/Clerical",25000,42502.78707,0,1,0.748173747101652
90,49,"Private","High School Graduate","Divorced","White","Male","United States","Transport/Moving",20500,34852.2854,0,1,0.554416377061523
60,41,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Farming/Fishing",23762,40398.04905,0,1,0.524935158332535
40,48,"Private","High School Graduate","Married","White","Male","United States","Other Services",12921,21967.14047,0,1,0.602517195123837
40,51,"Private","Less than High School","Married","White","Male","United States","Transport/Moving",21750,36977.42475,0,1,0.558951068693783
25,69,"Private","Graduate Degree","Married","White","Male","United States","Professional Specialty",3554,6042.19621,0,1,0.654775182363348
45,44,"Private","High School Graduate","Married","White","Male","United States","Administrative/Clerical",26156,44468.11594,0,1,0.831450923807033
60,40,"Private","Less than High School","Married","White","Male","United States","Craft/Repair",15000,25501.67224,0,1,0.662869855290624
55,42,"Private","High School Graduate","Never Married","Black","Male","United States","Executive/Managerial",11000,18701.22631,0,1,0.570789463486554
50,39,"Self Employed (Unincorporated)","Undergraduate Degree","Married","White","Female","United States","Farming/Fishing",26213,44565.0223,0,1,0.68176386133722
40,28,"Private","High School Graduate","Married","White","Female","United States","Administrative/Clerical",18900,32132.10702,0,1,0.668193228767663
70,56,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Craft/Repair",15072,25624.08027,0,1,0.725120828926508
60,59,"Self Employed (Incorporated)","Undergraduate Degree","Married","White","Male","United States","Craft/Repair",22001,37404.15273,0,1,0.90826844674932
37,36,"Private","Undergraduate Degree","Married","White","Female","United States","Executive/Managerial",22000,37402.45262,0,1,0.934506684290754
36,31,"Private","High School Graduate","Married","White","Female","United States","Machine Operator/Inspector",22271,37863.18283,0,1,0.62538000174951
40,46,"Federal Government","Graduate Degree","Never Married","White","Female","United States","Professional Specialty",26749,45476.28205,0,1,0.868299356346472
40,38,"Private","Undergraduate Degree","Never Married","White","Male","United States","Tech Support",13609,23136.81717,0,1,0.575595358789512
60,28,"Private","Graduate Degree","Married","White","Male","United States","Professional Specialty",21510,36569.39799,0,1,0.892741645633924
50,44,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Farming/Fishing",26349,44796.23746,0,1,0.529139464347299
45,29,"State Government","Undergraduate Degree","Never Married","White","Male","United States","Tech Support",8400,14280.93645,0,1,0.536715753370013
40,35,"Private","High School Graduate","Married","White","Male","United States","Transport/Moving",22000,37402.45262,0,1,0.710445681065956
50,37,"Self Employed (Unincorporated)","Undergraduate Degree","Separated","White","Male","United States","Transport/Moving",25042,42574.19175,0,1,0.545170092966272
66,42,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Farming/Fishing",25851,43949.58194,0,1,0.570658272310312
40,61,"Private","Less than High School","Married","White","Male","United States","Machine Operator/Inspector",27335,46472.54738,0,1,0.545232784104837
99,31,"Private","Graduate Degree","Never Married","White","Female","United States","Professional Specialty",15050,25586.67781,0,1,0.569836685911964
45,38,"Private","Undergraduate Degree","Married","White","Male","United States","Tech Support",25320,43046.82274,0,1,0.921682713953386
10,46,"Private","High School Graduate","Married","White","Male","United States","Professional Specialty",19029,32351.4214,0,1,0.550312337793125
50,31,"Local Government","Undergraduate Degree","Never Married","White","Female","United States","Professional Specialty",16010,27218.78484,0,1,0.562685048911769
40,45,"State Government","Undergraduate Degree","Separated","White","Female","United States","Professional Specialty",12000,20401.33779,0,1,0.586192853323947
20,36,"Private","Undergraduate Degree","Married","White","Female","United States","Machine Operator/Inspector",27960,47535.11706,0,1,0.706288496891852
50,39,"Self Employed (Incorporated)","High School Graduate","Married","White","Male","United States","Craft/Repair",28040,47671.12598,0,1,0.838915532485377
45,40,"Private","Undergraduate Degree","Never Married","White","Female","United States","Sales",27300,46413.04348,0,1,0.515417801099457
40,34,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Craft/Repair",28000,47603.12152,0,1,0.684445125988412
15,50,"Private","High School Graduate","Married","White","Female","United States","Sales",5250,8925.585284,0,1,0.547930033738526
40,41,"Private","High School Graduate","Never Married","White","Male","United States","Executive/Managerial",28214,47966.94537,0,1,0.51916733367429
40,27,"Private","Undergraduate Degree","Married","White","Male","United States","Craft/Repair",25891,44017.5864,0,1,0.723711578309684
40,31,"Private","High School Graduate","Married","White","Male","United States","Craft/Repair",16563,28158.94649,0,1,0.666041700482718
45,37,"Private","Undergraduate Degree","Married","White","Male","United States","Executive/Managerial",12901,21933.13824,0,1,0.945076533199732
40,32,"Private","High School Graduate","Married","White","Male","United States","Craft/Repair",24743,42065.85842,0,1,0.672076223316348
41,36,"Self Employed (Incorporated)","High School Graduate","Never Married","White","Male","United States","Executive/Managerial",29000,49303.233,0,1,0.535725469347565
40,44,"Local Government","Graduate Degree","Married","White","Female","United States","Professional Specialty",26150,44457.91527,0,1,0.95874679336234
15,33,"Private","Graduate Degree","Married","White","Female","United States","Tech Support",13000,22101.44928,0,1,0.809626975364024
55,55,"Private","Undergraduate Degree","Married (Spouse Absent)","White","Female","Ireland","Craft/Repair",24000,40802.67559,0,1,0.551117460470113
40,43,"Private","High School Graduate","Divorced","White","Male","United States","Professional Specialty",18572,31574.47046,0,1,0.648832246764216
50,26,"Private","High School Graduate","Married","White","Male","Germany","Sales",26862,45668.39465,0,1,0.735037198176414
39,43,"Local Government","Undergraduate Degree","Divorced","White","Female","United States","Professional Specialty",11025,18743.7291,0,1,0.597767306645367
40,39,"Private","Undergraduate Degree","Married","White","Male","United States","Craft/Repair",28840,49031.21516,0,1,0.871738116395756
40,43,"Local Government","Undergraduate Degree","Separated","White","Female","United States","Professional Specialty",24000,40802.67559,0,1,0.586192853323947
45,39,"Self Employed (Incorporated)","Undergraduate Degree","Married","White","Male","United States","Executive/Managerial",20001,34003.92977,0,1,0.93303275325131
40,49,"Private","Undergraduate Degree","Divorced","White","Female","United States","Executive/Managerial",18000,30602.00669,0,1,0.561152931711088
50,27,"Local Government","Undergraduate Degree","Married (Spouse Absent)","White","Female","United States","Professional Specialty",23000,39102.5641,0,1,0.5050448910999
40,52,"Private","Less than High School","Married","White","Male","United States","Machine Operator/Inspector",24000,40802.67559,0,1,0.542069860223171
60,60,"Self Employed (Incorporated)","Less than High School","Married","White","Male","United States","Sales",25476,43312.04013,0,1,0.747923433722885
40,39,"Private","High School Graduate","Married","White","Male","United States","Craft/Repair",24000,40802.67559,0,1,0.771875178471697
99,51,"Self Employed (Unincorporated)","Undergraduate Degree","Divorced","White","Female","United States","Executive/Managerial",25000,42502.78707,0,1,0.586248527879523
45,47,"Self Employed (Unincorporated)","Undergraduate Degree","Never Married","Black","Male","United States","Executive/Managerial",70520,119891.8618,1,1,0.579998063864781
42,29,"Private","Graduate Degree","Never Married","Black","Male","United States","Professional Specialty",41320,70248.60647,1,1,0.667082967632516
40,46,"Private","High School Graduate","Married","Black","Male","United States","Executive/Managerial",53162,90381.32664,1,1,0.87307089013335
40,57,"Local Government","Graduate Degree","Married","Black","Male","United States","Executive/Managerial",99999,170009.4482,1,1,0.959176763281253
40,56,"Local Government","Graduate Degree","Married","Black","Male","United States","Executive/Managerial",99999,170009.4482,1,1,0.959176763281253
38,46,"State Government","High School Graduate","Married","Black","Male","United States","Executive/Managerial",83188,141428.874,1,1,0.875690251450644
50,47,"Local Government","Graduate Degree","Married","Black","Male","United States","Executive/Managerial",99999,170009.4482,1,1,0.966308175849701
50,38,"Local Government","Undergraduate Degree","Married","Black","Male","United States","Executive/Managerial",74500,126658.3055,1,1,0.922793905671166
45,27,"Private","Undergraduate Degree","Married","Black","Male","United States","Transport/Moving",32100,54573.5786,1,1,0.769475455762024
50,41,"Local Government","Undergraduate Degree","Married","Black","Male","United States","Executive/Managerial",64323,109356.2709,1,1,0.922793905671166
35,46,"Private","Graduate Degree","Married","Black","Male","United States","Professional Specialty",47809,81280.62988,1,1,0.941721479452764
40,38,"Private","High School Graduate","Married","Black","Male","United States","Sales",52000,88405.7971,1,1,0.723352107267168
40,42,"Private","High School Graduate","Married","Black","Male","United States","Sales",94300,160320.5128,1,1,0.735378715885011
40,34,"Private","High School Graduate","Married","Black","Female","United States","Sales",31900,54233.5563,1,1,0.615382729728698
40,41,"Private","High School Graduate","Married","Black","Male","United States","Tech Support",35137,59736.81717,1,1,0.878879958654581
45,49,"Private","Graduate Degree","Married","White","Male","United States","Professional Specialty",34940,59401.89521,1,1,0.955794085731839
40,29,"Private","High School Graduate","Married","Black","Male","United States","Executive/Managerial",48801,82967.14047,1,1,0.791565856871163
45,25,"Private","High School Graduate","Married","Black","Male","United States","Sales",31050,52788.46154,1,1,0.652066702050364
40,39,"Private","High School Graduate","Married","White","Male","United States","Craft/Repair",33091,56258.38907,1,1,0.771875178471697
40,40,"Private","High School Graduate","Married","White","Male","United States","Handler/Cleaner",65020,110541.2486,1,1,0.656117462280086
40,47,"Private","High School Graduate","Married","White","Male","United States","Farming/Fishing",36057,61300.91973,1,1,0.610441435962582
50,46,"Local Government","Undergraduate Degree","Married","White","Male","United States","Professional Specialty",53103,90281.02007,1,1,0.935825155395641
45,59,"Private","Undergraduate Degree","Married","White","Male","United States","Machine Operator/Inspector",57600,97926.4214,1,1,0.904411332993446
60,52,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Sales",33501,56955.43478,1,1,0.726130475850617
40,46,"Self Employed (Unincorporated)","High School Graduate","Married","White","Male","United States","Executive/Managerial",35287,59991.83389,1,1,0.784209756635386
50,32,"Private","Undergraduate Degree","Married","White","Male","United States","Craft/Repair",46075,78332.63657,1,1,0.874199805394118
50,46,"Private","Undergraduate Degree","Married","White","Male","United States","Executive/Managerial",99999,170009.4482,1,1,0.955905380308661
60,55,"Local Government","Undergraduate Degree","Married","White","Female","United States","Professional Specialty",46833,79621.32107,1,1,0.905698425438931
40,55,"Private","High School Graduate","Married","White","Male","United States","Craft/Repair",56777,96527.22965,1,1,0.794376439757469
