Hours per Week,Age,Workclass,Highest Degree,Marital Status,Race,Gender,Native Country,Occupation,Income Actual,Income Adjust,Income,ML Pred
40,53,Private,Less than High School,Never Married,Black,Male,Jamaica,Craft/Repair,23454,39874.41472,0,0
40,24,State Government,High School Graduate,Never Married,White,Female,United States,Machine Operator/Inspector,16605,28230.35117,0,0
40,20,Private,High School Graduate,Never Married,White,Female,United States,Other Services,14550,24736.62207,0,0
35,30,State Government,Undergraduate Degree,Never Married,White,Male,United States,Professional Specialty,18000,30602.00669,0,0
40,23,Private,Graduate Degree,Never Married,White,Male,United States,Professional Specialty,8300,14110.92531,0,0
40,23,Federal Government,Undergraduate Degree,Never Married,White,Male,United States,Professional Specialty,11410,19398.27202,0,0
30,20,Private,High School Graduate,Never Married,White,Female,United States,Machine Operator/Inspector,4700,7990.523969,0,0
40,56,Private,Less than High School,Separated,Black,Female,United States,Other Services,15000,25501.67224,0,0
40,24,Private,Undergraduate Degree,Never Married,White,Male,United States,Executive/Managerial,22300,37912.48606,0,0
25,22,Private,High School Graduate,Never Married,White,Male,United States,Farming/Fishing,4300,7310.479376,0,0
35,33,Private,High School Graduate,Separated,White,Female,United States,Sales,11378,19343.86845,0,0
40,57,Self Employed (Unincorporated),High School Graduate,Married,Asian/Pacific Islander,Male,United States,Farming/Fishing,13101,22273.16054,0,0
40,36,Self Employed (Unincorporated),Undergraduate Degree,Never Married,White,Male,United States,Craft/Repair,20000,34002.22965,0,0
38,59,Private,Less than High School,Separated,Black,Female,United States,Other Services,20000,34002.22965,0,0
40,27,Private,High School Graduate,Never Married,Other,Male,United States,Administrative/Clerical,15416,26208.91862,0,0
40,22,Private,High School Graduate,Never Married,Asian/Pacific Islander,Male,United States,Transport/Moving,10000,17001.11483,0,0
60,27,Private,High School Graduate,Never Married,White,Female,Germany,Administrative/Clerical,25080,42638.79599,0,0
35,24,Private,High School Graduate,Separated,White,Female,United States,Administrative/Clerical,14000,23801.56076,0,0
30,58,Private,Less than High School,Widowed,Other,Female,United States,Other Services,11700,19891.30435,0,0
40,18,Private,Less than High School,Never Married,White,Male,United States,Craft/Repair,12374,21037.17949,0,0
40,24,Private,Undergraduate Degree,Married (Spouse Absent),White,Female,United States,Professional Specialty,25500,43352.84281,0,0
40,28,Private,High School Graduate,Never Married,Black,Male,United States,Craft/Repair,22000,37402.45262,0,0
35,38,Private,High School Graduate,Separated,White,Male,United States,Other Services,10000,17001.11483,0,0
55,23,Private,High School Graduate,Never Married,White,Male,United States,Sales,29100,49473.24415,0,0
60,20,Private,High School Graduate,Never Married,White,Male,United States,Sales,18020,30636.00892,0,0
35,29,Private,Undergraduate Degree,Never Married,White,Female,United States,Administrative/Clerical,11322,19248.66221,0,0
40,23,Private,High School Graduate,Married,White,Male,Guatemala,Other Services,8865,15071.48829,0,0
40,61,Self Employed (Unincorporated),Undergraduate Degree,Widowed,White,Female,Canada,Craft/Repair,13000,22101.44928,0,0
50,22,Local Government,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,18000,30602.00669,0,0
20,30,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,29001,49304.93311,0,0
40,63,Private,Less than High School,Separated,Black,Female,United States,Other Services,8869,15078.28874,0,0
40,29,Private,High School Graduate,Divorced,White,Female,United States,Executive/Managerial,19020,32336.1204,0,0
25,20,Private,High School Graduate,Never Married,White,Male,United States,Administrative/Clerical,3000,5100.334448,0,0
40,50,Private,High School Graduate,Divorced,White,Female,United States,Machine Operator/Inspector,18032,30656.41026,0,0
40,47,Private,High School Graduate,Widowed,White,Female,United States,Administrative/Clerical,20000,34002.22965,0,0
40,37,Self Employed (Incorporated),High School Graduate,Divorced,White,Female,Canada,Craft/Repair,19400,32982.16276,0,0
30,24,Private,High School Graduate,Never Married,White,Male,United States,Machine Operator/Inspector,3600,6120.401338,0,0
40,20,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,14578,24784.2252,0,0
12,19,Private,High School Graduate,Never Married,White,Female,United States,Sales,2700,4590.301003,0,0
45,25,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,15208,25855.29543,0,0
15,29,Private,High School Graduate,Never Married,White,Male,United States,Professional Specialty,3800,6460.423634,0,0
50,20,Private,Less than High School,Married,White,Female,United States,Sales,27200,46243.03233,0,0
35,35,Private,Undergraduate Degree,Never Married,White,Female,United States,Administrative/Clerical,20921,35568.03233,0,0
40,40,Private,Less than High School,Married,Black,Male,Jamaica,Transport/Moving,15602,26525.13935,0,0
40,22,Private,High School Graduate,Never Married,White,Female,Germany,Other Services,20210,34359.25307,0,0
50,26,Private,High School Graduate,Never Married,White,Female,United States,Other Services,18000,30602.00669,0,0
38,26,Private,High School Graduate,Never Married,White,Female,United States,Sales,19100,32472.12932,0,0
35,23,Private,High School Graduate,Separated,Black,Female,United States,Sales,13400,22781.49387,0,0
40,41,Self Employed (Unincorporated),Less than High School,Divorced,White,Male,United States,Craft/Repair,23000,39102.5641,0,0
30,51,Private,Less than High School,Divorced,Black,Female,United States,Other Services,7800,13260.86957,0,0
60,24,Private,Graduate Degree,Never Married,White,Male,United States,Professional Specialty,11638,19785.89744,0,0
40,53,Private,High School Graduate,Divorced,White,Female,Scotland,Machine Operator/Inspector,5724,9731.438127,0,0
7,73,Private,High School Graduate,Widowed,White,Female,United States,Sales,2562,4355.685619,0,0
40,43,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,10012,17021.51616,0,0
40,41,Private,Less than High School,Separated,White,Male,Mexico,Craft/Repair,18000,30602.00669,0,0
41,33,Private,High School Graduate,Never Married,White,Male,United States,Craft/Repair,17000,28901.89521,0,0
30,19,Self Employed (Unincorporated),Less than High School,Never Married,White,Female,United States,Administrative/Clerical,1100,1870.122631,0,0
55,23,Private,Less than High School,Married,Other,Male,United States,Craft/Repair,20800,35362.31884,0,0
40,19,Private,High School Graduate,Never Married,White,Female,United States,Craft/Repair,1152,1958.528428,0,0
35,32,Self Employed (Unincorporated),Undergraduate Degree,Never Married,White,Female,United States,Craft/Repair,11750,19976.30992,0,0
40,24,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,2592,4406.688963,0,0
32,52,Private,Undergraduate Degree,Divorced,White,Female,United States,Professional Specialty,26446,44961.14827,0,0
40,34,Private,High School Graduate,Separated,White,Female,United States,Administrative/Clerical,24000,40802.67559,0,0
55,33,Private,High School Graduate,Never Married,White,Male,United States,Machine Operator/Inspector,7600,12920.84727,0,0
2,18,Private,Less than High School,Never Married,White,Female,United States,Professional Specialty,9650,16406.07581,0,0
40,19,Private,Less than High School,Never Married,White,Male,United States,Tech Support,12000,20401.33779,0,0
8,17,Private,Less than High School,Never Married,White,Male,United States,Sales,1954,3322.017837,0,0
38,42,Private,Less than High School,Married,White,Female,Mexico,Machine Operator/Inspector,14400,24481.60535,0,0
40,51,Private,High School Graduate,Married (Spouse Absent),White,Female,United States,Other Services,17297,29406.82832,0,0
40,19,Private,Less than High School,Never Married,White,Male,United States,Handler/Cleaner,13282,22580.88071,0,0
40,19,Private,High School Graduate,Never Married,Black,Male,United States,Other Services,1200,2040.133779,0,0
57,57,Private,High School Graduate,Widowed,White,Female,United States,Professional Specialty,18012,30622.40803,0,0
60,42,Private,High School Graduate,Divorced,White,Female,Columbia,Private House Services,20024,34043.03233,0,0
40,31,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,12300,20911.37124,0,0
10,17,Private,Less than High School,Never Married,White,Male,United States,Other Services,2600,4420.289855,0,0
45,51,Self Employed (Unincorporated),High School Graduate,Never Married,White,Male,United States,Farming/Fishing,12042,20472.74247,0,0
40,19,Self Employed (Unincorporated),High School Graduate,Never Married,White,Male,England,Craft/Repair,1400,2380.156076,0,0
40,25,Private,Less than High School,Never Married,Native American/Eskimo,Male,United States,Farming/Fishing,15500,26351.72798,0,0
60,35,Self Employed (Incorporated),High School Graduate,Never Married,White,Male,United States,Transport/Moving,25450,43267.83724,0,0
40,45,Private,High School Graduate,Divorced,Asian/Pacific Islander,Female,Japan,Administrative/Clerical,25426,43227.03456,0,0
55,23,Private,High School Graduate,Never Married,White,Male,United States,Sales,11000,18701.22631,0,0
10,20,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,2991,5085.033445,0,0
4,55,Private,Less than High School,Married,Black,Male,United States,Handler/Cleaner,12507,21263.29431,0,0
40,41,Private,Less than High School,Married (Spouse Absent),White,Male,Mexico,Handler/Cleaner,4281,7278.177258,0,0
50,52,Private,High School Graduate,Married (Spouse Absent),White,Female,United States,Administrative/Clerical,24327,41358.61204,0,0
32,24,Private,Undergraduate Degree,Never Married,White,Female,United States,Other Services,5038,8565.16165,0,0
40,17,Private,Less than High School,Never Married,White,Male,United States,Other Services,1200,2040.133779,0,0
40,36,Private,High School Graduate,Never Married,White,Male,United States,Machine Operator/Inspector,14000,23801.56076,0,0
13,20,Private,High School Graduate,Never Married,White,Female,United States,Sales,3231,5493.060201,0,0
40,24,Private,Undergraduate Degree,Never Married,White,Female,United States,Professional Specialty,15479,26316.02564,0,0
40,46,Private,Less than High School,Separated,White,Female,Mexico,Other Services,1283,2181.243032,0,0
55,23,Private,Less than High School,Never Married,White,Male,Mexico,Handler/Cleaner,9600,16321.07023,0,0
40,17,Private,Less than High School,Never Married,White,Male,United States,Administrative/Clerical,4900,8330.546265,0,0
30,25,Private,Undergraduate Degree,Never Married,White,Female,United States,Other Services,15307,26023.60647,0,0
40,24,Private,High School Graduate,Never Married,White,Female,United States,Other Services,8018,13631.49387,0,0
16,42,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,24860,42264.77146,0,0
15,22,Private,High School Graduate,Never Married,Black,Female,United States,Other Services,4000,6800.445931,0,0
40,41,Private,High School Graduate,Never Married,Black,Male,United States,Machine Operator/Inspector,24800,42162.76477,0,0
40,22,Federal Government,High School Graduate,Never Married,White,Female,United States,Executive/Managerial,12780,21727.42475,0,0
40,31,Private,High School Graduate,Divorced,Other,Female,Mexico,Sales,9855,16754.59866,0,0
40,35,Private,High School Graduate,Never Married,White,Male,United States,Machine Operator/Inspector,22597,38417.41918,0,0
38,27,Self Employed (Incorporated),High School Graduate,Separated,White,Male,United States,Administrative/Clerical,21000,35702.34114,0,0
20,73,Local Government,Less than High School,Married,White,Male,United States,Protective Services,19800,33662.20736,0,0
8,25,Private,High School Graduate,Never Married,White,Female,United States,Other Services,6000,10200.6689,0,0
16,59,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,7000,11900.78038,0,0
40,33,Private,Less than High School,Divorced,White,Male,United States,Executive/Managerial,25030,42553.79041,0,0
40,53,Private,Less than High School,Divorced,White,Male,United States,Farming/Fishing,17000,28901.89521,0,0
40,57,Private,High School Graduate,Married (Spouse Absent),White,Male,United States,Administrative/Clerical,18916,32159.30881,0,0
35,45,Self Employed (Unincorporated),Undergraduate Degree,Never Married,White,Female,United States,Sales,26500,45052.95429,0,0
45,24,Private,Graduate Degree,Never Married,White,Female,United States,Professional Specialty,10007,17013.01561,0,0
24,39,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,12000,20401.33779,0,0
40,62,Self Employed (Unincorporated),High School Graduate,Divorced,White,Male,United States,Sales,28000,47603.12152,0,0
40,26,Private,High School Graduate,Married,White,Male,United States,Other Services,26010,44219.89967,0,0
18,17,Private,Less than High School,Never Married,White,Male,United States,Other Services,2289,3891.555184,0,0
40,64,Private,Less than High School,Married,White,Male,United States,Administrative/Clerical,28327,48159.05797,0,0
29,21,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,2198,3736.845039,0,0
40,20,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,3914,6654.236343,0,0
40,28,Private,Undergraduate Degree,Never Married,White,Male,United States,Machine Operator/Inspector,27050,45988.01561,0,0
40,32,Private,High School Graduate,Never Married,White,Male,United States,Machine Operator/Inspector,9810,16678.09365,0,0
35,18,Private,High School Graduate,Never Married,White,Female,United States,Sales,7000,11900.78038,0,0
40,23,Federal Government,High School Graduate,Never Married,White,Male,United States,Armed Forces,10000,17001.11483,0,0
40,31,Private,Less than High School,Married,White,Male,United States,Machine Operator/Inspector,22000,37402.45262,0,0
40,46,Private,High School Graduate,Married (Spouse Absent),White,Male,United States,Handler/Cleaner,28638,48687.79264,0,0
30,18,Private,High School Graduate,Never Married,White,Female,United States,Machine Operator/Inspector,6000,10200.6689,0,0
16,19,Private,High School Graduate,Married,Black,Female,United States,Other Services,14200,24141.58305,0,0
40,24,Private,Undergraduate Degree,Never Married,White,Male,United States,Executive/Managerial,28000,47603.12152,0,0
38,21,Private,Undergraduate Degree,Never Married,Black,Female,United States,Administrative/Clerical,7800,13260.86957,0,0
40,27,Private,High School Graduate,Married,White,Male,United States,Handler/Cleaner,9129,15520.31773,0,0
40,23,Private,High School Graduate,Never Married,White,Male,United States,Other Services,7831,13313.57302,0,0
25,19,Private,High School Graduate,Never Married,White,Female,United States,Sales,6000,10200.6689,0,0
39,20,Private,Less than High School,Never Married,White,Male,United States,Handler/Cleaner,3900,6630.434783,0,0
40,43,Private,Undergraduate Degree,Divorced,White,Male,United States,Machine Operator/Inspector,27138,46137.62542,0,0
24,24,Private,Less than High School,Never Married,White,Male,Guatemala,Handler/Cleaner,6500,11050.72464,0,0
22,39,Private,High School Graduate,Divorced,White,Female,United States,Private House Services,4800,8160.535117,0,0
40,20,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,13360,22713.48941,0,0
30,33,Private,Undergraduate Degree,Never Married,Asian/Pacific Islander,Male,Hong,Administrative/Clerical,12910,21948.43924,0,0
46,23,Private,Undergraduate Degree,Never Married,White,Female,United States,Administrative/Clerical,25000,42502.78707,0,0
45,19,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,3535,6009.894091,0,0
40,27,Private,Less than High School,Married,White,Male,United States,Farming/Fishing,22058,37501.05909,0,0
40,25,Private,Undergraduate Degree,Never Married,White,Female,United States,Administrative/Clerical,21500,36552.39688,0,0
30,28,Private,High School Graduate,Never Married,White,Male,United States,Craft/Repair,10000,17001.11483,0,0
40,56,Private,High School Graduate,Divorced,Black,Female,Jamaica,Other Services,2045,3476.727982,0,0
40,49,Self Employed (Incorporated),High School Graduate,Divorced,White,Female,United States,Sales,19717,33521.0981,0,0
42,37,Private,High School Graduate,Separated,White,Female,United States,Craft/Repair,21025,35744.84392,0,0
45,27,Private,High School Graduate,Never Married,White,Male,United States,Tech Support,28000,47603.12152,0,0
40,45,Private,Undergraduate Degree,Divorced,White,Female,United States,Machine Operator/Inspector,28500,48453.17726,0,0
40,31,Self Employed (Incorporated),Undergraduate Degree,Divorced,White,Male,United States,Sales,23706,40302.84281,0,0
30,19,Private,High School Graduate,Never Married,White,Female,United States,Sales,7725,13133.3612,0,0
40,23,Private,Less than High School,Married,Asian/Pacific Islander,Female,Vietnam,Machine Operator/Inspector,26005,44211.39911,0,0
50,28,Private,High School Graduate,Never Married,Other,Male,Puerto Rico,Machine Operator/Inspector,13000,22101.44928,0,0
40,40,Self Employed (Unincorporated),High School Graduate,Separated,White,Male,United States,Craft/Repair,20000,34002.22965,0,0
40,35,Private,Undergraduate Degree,Never Married,White,Male,United States,Administrative/Clerical,19515,33177.67559,0,0
40,31,Private,High School Graduate,Separated,White,Male,United States,Other Services,18500,31452.06243,0,0
40,23,Private,High School Graduate,Never Married,White,Male,United States,Craft/Repair,15013,25523.77369,0,0
40,67,Private,Less than High School,Married,White,Male,United States,Craft/Repair,11933,20287.43032,0,0
15,25,Self Employed (Unincorporated),Less than High School,Never Married,White,Male,United States,Craft/Repair,2000,3400.222965,0,0
40,64,Private,Less than High School,Married,Black,Male,United States,Other Services,12000,20401.33779,0,0
40,23,Private,Undergraduate Degree,Never Married,White,Female,United States,Sales,11249,19124.55407,0,0
54,23,Private,High School Graduate,Separated,Black,Male,United States,Machine Operator/Inspector,4834,8218.338907,0,0
50,24,Private,High School Graduate,Never Married,White,Female,United States,Sales,15300,26011.70569,0,0
40,28,Private,High School Graduate,Never Married,Black,Male,United States,Handler/Cleaner,17371,29532.63657,0,0
40,47,Private,High School Graduate,Separated,Black,Female,United States,Craft/Repair,26000,44202.89855,0,0
25,20,Private,High School Graduate,Never Married,White,Female,United States,Craft/Repair,6700,11390.74693,0,0
35,34,Private,High School Graduate,Divorced,White,Female,United States,Sales,6500,11050.72464,0,0
40,25,Self Employed (Unincorporated),High School Graduate,Never Married,White,Male,United States,Craft/Repair,1800,3060.200669,0,0
25,31,Private,Undergraduate Degree,Never Married,White,Female,United States,Other Services,23080,39238.57302,0,0
30,24,Private,Undergraduate Degree,Never Married,White,Male,United States,Sales,7174,12196.59978,0,0
20,75,Local Government,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,15008,25515.27313,0,0
40,19,Private,High School Graduate,Never Married,White,Male,United States,Machine Operator/Inspector,12500,21251.39353,0,0
40,23,Private,High School Graduate,Never Married,Asian/Pacific Islander,Female,Vietnam,Administrative/Clerical,4600,7820.512821,0,0
40,49,Private,Less than High School,Married,White,Male,Greece,Other Services,10977,18662.12375,0,0
65,44,Private,Undergraduate Degree,Divorced,White,Female,United States,Other Services,21120,35906.35452,0,0
40,32,Private,High School Graduate,Never Married,White,Female,United States,Machine Operator/Inspector,13596,23114.71572,0,0
32,47,Private,High School Graduate,Divorced,White,Female,United States,Other Services,14500,24651.6165,0,0
25,39,Private,Less than High School,Married,White,Male,United States,Transport/Moving,27548,46834.67113,0,0
40,26,Private,Less than High School,Never Married,White,Female,United States,Administrative/Clerical,11607,19733.19398,0,0
40,25,Private,High School Graduate,Divorced,White,Female,United States,Tech Support,24077,40933.58417,0,0
40,18,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,16052,27290.18952,0,0
32,27,Private,High School Graduate,Never Married,White,Female,United States,Other Services,3600,6120.401338,0,0
20,40,Self Employed (Unincorporated),Graduate Degree,Separated,White,Female,United States,Executive/Managerial,9700,16491.08138,0,0
40,34,Private,High School Graduate,Divorced,White,Female,United States,Other Services,15495,26343.22742,0,0
35,25,Self Employed (Unincorporated),High School Graduate,Separated,White,Male,United States,Craft/Repair,5340,9078.595318,0,0
25,21,Private,Undergraduate Degree,Never Married,White,Female,United States,Administrative/Clerical,7409,12596.12598,0,0
38,38,Local Government,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,35881,61001.70011,1,1
43,40,Private,Graduate Degree,Married,White,Male,United States,Sales,56853,96656.43813,1,1
40,40,State Government,Undergraduate Degree,Married,White,Male,United States,Administrative/Clerical,80380,136654.961,1,1
52,55,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,46213,78567.25195,1,1
50,28,Self Employed (Unincorporated),High School Graduate,Married,White,Male,United States,Sales,87200,148249.7213,1,1
40,40,Private,Undergraduate Degree,Divorced,White,Female,United States,Executive/Managerial,73403,124793.2832,1,1
45,58,Private,High School Graduate,Married,White,Male,United States,Machine Operator/Inspector,62600,106426.9788,1,1
60,27,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,33267,56557.6087,1,1
40,34,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,78730,133849.777,1,1
40,58,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,68740,116865.6633,1,1
40,49,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,46010,78222.12932,1,1
45,37,Self Employed (Unincorporated),High School Graduate,Married,White,Male,United States,Craft/Repair,38525,65496.79487,1,1
40,49,Private,High School Graduate,Married,White,Female,United States,Administrative/Clerical,53900,91636.00892,1,1
40,60,Federal Government,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,53766,91408.19398,1,1
39,37,Private,High School Graduate,Married,White,Male,United States,Tech Support,30480,51819.39799,1,1
60,27,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,31200,53043.47826,1,1
50,58,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,43080,73240.80268,1,1
50,38,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,98212,166971.3489,1,1
40,34,Private,High School Graduate,Married,White,Male,United States,Tech Support,65488,111336.9008,1,1
45,28,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,61220,104080.825,1,1
40,48,Private,High School Graduate,Married,White,Male,United States,Executive/Managerial,74977,127469.2586,1,1
40,58,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,61530,104607.8595,1,1
40,32,Private,Undergraduate Degree,Married,White,Male,United States,Other Services,48800,82965.44036,1,1
50,26,Private,Undergraduate Degree,Never Married,White,Female,United States,Executive/Managerial,31351,53300.19509,1,1
40,33,Private,Graduate Degree,Married,White,Male,United States,Professional Specialty,99999,170009.4482,1,1
50,34,Private,High School Graduate,Married,White,Male,United States,Other Services,47050,79990.24526,1,1
45,34,Private,High School Graduate,Married,White,Male,United States,Machine Operator/Inspector,63714,108320.903,1,1
50,41,State Government,Graduate Degree,Married,White,Male,United States,Executive/Managerial,52088,88555.40691,1,1
50,45,Private,Graduate Degree,Married,White,Male,United States,Executive/Managerial,92018,156440.8584,1,1
40,40,Private,Undergraduate Degree,Married,White,Female,United States,Administrative/Clerical,45756,77790.301,1,1
45,62,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,35000,59503.9019,1,1
60,31,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,33000,56103.67893,1,1
60,38,Self Employed (Incorporated),Graduate Degree,Married,White,Male,United States,Executive/Managerial,51496,87548.94091,1,1
40,31,Local Government,Graduate Degree,Married,White,Male,United States,Professional Specialty,66020,112241.3601,1,1
40,54,Local Government,High School Graduate,Married,White,Female,United States,Executive/Managerial,54548,92737.68116,1,1
40,47,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,53016,90133.11037,1,1
40,38,Local Government,High School Graduate,Married,White,Male,United States,Protective Services,52400,89085.84169,1,1
40,49,Private,Undergraduate Degree,Married,White,Male,United States,Executive/Managerial,85000,144509.476,1,1
50,38,Self Employed (Incorporated),High School Graduate,Married,White,Male,United States,Executive/Managerial,99999,170009.4482,1,1
50,51,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,98692,167787.4025,1,1
40,39,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,33900,57633.77926,1,1
55,31,Private,Graduate Degree,Never Married,White,Male,United States,Executive/Managerial,76100,129378.4838,1,1
84,38,Private,Undergraduate Degree,Married (Spouse Absent),Other,Male,India,Transport/Moving,43577,74085.75808,1,1
40,33,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,37402,63587.56968,1,1
40,50,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,84200,143149.3868,1,1
40,34,Private,Undergraduate Degree,Married,Asian/Pacific Islander,Male,United States,Transport/Moving,51344,87290.52397,1,1
50,27,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,42050,71489.68785,1,1
45,36,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,99999,170009.4482,1,1
40,24,Private,Undergraduate Degree,Married,White,Male,United States,Craft/Repair,42065,71515.18952,1,1
40,40,Private,High School Graduate,Married,White,Male,United States,Craft/Repair,66970,113856.466,1,1
40,27,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,58113,98798.5786,1,1
50,46,Local Government,Undergraduate Degree,Divorced,Black,Male,United States,Protective Services,67000,113907.4693,1,1
50,45,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,70646,120106.0758,1,1
40,48,Private,High School Graduate,Married,White,Male,United States,Machine Operator/Inspector,63000,107107.0234,1,1
