Hours per Week,Age,Workclass,Highest Degree,Marital Status,Race,Gender,Native Country,Occupation,Income Actual,Income Adjust,Income,ML Pred
60,41,Self Employed (Unincorporated),Undergraduate Degree,Married,White,Male,United States,Craft/Repair,99999,170009.4482,1,1
50,48,Local Government,Graduate Degree,Separated,White,Male,United States,Professional Specialty,40963,69641.66667,1,1
40,67,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,53000,90105.90858,1,1
40,33,Private,Undergraduate Degree,Married,White,Male,Mexico,Sales,36000,61204.01338,1,1
40,57,Self Employed (Incorporated),Undergraduate Degree,Married,White,Male,United States,Executive/Managerial,99999,170009.4482,1,1
36,55,Private,High School Graduate,Married,White,Male,United States,Executive/Managerial,41601,70726.33779,1,1
46,50,Private,Undergraduate Degree,Married,White,Male,United States,Administrative/Clerical,71112,120898.3278,1,1
40,39,Private,Undergraduate Degree,Married,White,Male,United States,Craft/Repair,52500,89255.85284,1,1
50,71,Private,Undergraduate Degree,Married,Black,Male,United States,Professional Specialty,75518,128389.019,1,1
40,36,State Government,Graduate Degree,Never Married,White,Male,United States,Professional Specialty,32850,55848.66221,1,1
40,38,Self Employed (Incorporated),High School Graduate,Married,White,Male,United States,Executive/Managerial,47901,81437.04013,1,1
45,35,Private,Undergraduate Degree,Divorced,White,Male,United States,Craft/Repair,90000,153010.0334,1,1
45,57,State Government,Graduate Degree,Married,White,Male,United States,Executive/Managerial,78417,133317.6421,1,1
40,62,Private,Undergraduate Degree,Married,White,Male,United States,Tech Support,65499,111355.602,1,1
40,64,Private,High School Graduate,Married,White,Male,United States,Executive/Managerial,42940,73002.78707,1,1
45,28,Private,Undergraduate Degree,Married,White,Male,United States,Professional Specialty,32267,54857.49721,1,1
40,33,Private,High School Graduate,Married,White,Male,United States,Handler/Cleaner,15414,26205.51839,0,1
45,34,Private,High School Graduate,Married,White,Male,United States,Transport/Moving,28173,47897.2408,0,1
40,25,Private,Undergraduate Degree,Married,White,Female,United States,Administrative/Clerical,27400,46583.05463,0,1
50,60,Self Employed (Unincorporated),High School Graduate,Married,White,Male,United States,Executive/Managerial,14000,23801.56076,0,1
40,57,Private,High School Graduate,Married,White,Female,United States,Administrative/Clerical,5808,9874.247492,0,1
40,64,Private,Undergraduate Degree,Married,Asian/Pacific Islander,Male,Philippines,Sales,22146,37650.6689,0,1
42,30,Private,High School Graduate,Married,White,Male,United States,Sales,19073,32426.22631,0,1
40,28,State Government,High School Graduate,Married,White,Male,United States,Protective Services,26103,44378.01003,0,1
40,41,Private,High School Graduate,Married,Other,Male,United States,Craft/Repair,20296,34505.46265,0,1
37,40,Private,High School Graduate,Married,White,Male,United States,Machine Operator/Inspector,22000,37402.45262,0,1
72,36,Self Employed (Unincorporated),Undergraduate Degree,Married,White,Male,United States,Farming/Fishing,27701,47094.78818,0,1
44,45,Private,Undergraduate Degree,Divorced,White,Female,United States,Executive/Managerial,14000,23801.56076,0,1
45,51,Private,Less than High School,Married,White,Male,United States,Handler/Cleaner,11513,19573.3835,0,1
40,60,Private,Less than High School,Married,White,Male,United States,Craft/Repair,23000,39102.5641,0,1
40,31,Self Employed (Unincorporated),High School Graduate,Married,White,Male,United States,Farming/Fishing,23200,39442.5864,0,1
45,41,Private,High School Graduate,Never Married,White,Female,United States,Professional Specialty,49050,83390.46823,1,0
40,53,State Government,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,49050,83390.46823,1,0
50,31,Private,Undergraduate Degree,Never Married,White,Male,United States,Administrative/Clerical,40000,68004.45931,1,0
40,22,Private,Less than High School,Married,White,Male,United States,Craft/Repair,35962,61139.40914,1,0
45,40,Private,High School Graduate,Divorced,White,Male,United States,Craft/Repair,30319,51545.68004,1,0
84,66,Self Employed (Unincorporated),Less than High School,Widowed,White,Female,United States,Executive/Managerial,59091,100461.2876,1,0
45,28,Private,High School Graduate,Never Married,White,Female,United States,Executive/Managerial,33985,57778.28874,1,0
40,47,Private,Less than High School,Never Married,Black,Female,United States,Machine Operator/Inspector,41849,71147.96544,1,0
38,49,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,35520,60387.95987,1,0
40,31,Private,Undergraduate Degree,Never Married,White,Female,United States,Executive/Managerial,52500,89255.85284,1,0
40,26,Private,High School Graduate,Divorced,White,Male,United States,Administrative/Clerical,29500,50153.28874,1,0
40,38,Federal Government,Undergraduate Degree,Divorced,White,Female,United States,Administrative/Clerical,29771,50614.01895,1,0
16,50,Self Employed (Unincorporated),Undergraduate Degree,Divorced,White,Male,United States,Craft/Repair,99999,170009.4482,1,0
40,45,State Government,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,31076,52832.66444,1,0
40,26,Private,High School Graduate,Never Married,Black,Male,United States,Administrative/Clerical,32000,54403.56745,1,0
